I,Q
-0.452769,0.985337
-0.428875,0.961675
-0.153621,0.924716
0.193607,0.908171
0.431733,0.928280
0.480314,0.975331
0.385395,1.019613
0.268701,1.026178
0.234266,0.967767
0.299556,0.834452
0.396044,0.642717
0.428727,0.436816
0.347984,0.277466
0.177132,0.213535
-0.014362,0.250833
-0.171271,0.338174
-0.286377,0.392404
-0.383297,0.353028
-0.466359,0.237860
-0.492343,0.145764
-0.396574,0.197476
-0.159307,0.444415
0.147430,0.803797
0.379909,1.084544
0.409554,1.095289
0.214445,0.771018
-0.093894,0.236490
-0.335599,-0.253068
-0.370806,-0.456124
-0.173793,-0.281768
0.177286,0.165684
0.570826,0.668355
0.927331,1.033089
1.208623,1.188818
1.372781,1.183237
1.344492,1.097443
1.044124,0.964699
0.468154,0.767193
-0.246153,0.502544
-0.845564,0.254488
-1.078937,0.175928
-0.840244,0.376245
-0.231748,0.793375
0.490873,1.171841
1.061107,1.196430
1.331083,0.709323
1.315015,-0.138163
1.128347,-0.935198
0.891939,-1.246883
0.672206,-0.889185
0.488996,-0.056504
0.357410,0.793337
0.312737,1.219521
0.390263,1.054433
0.583114,0.475450
0.819609,-0.146473
0.989299,-0.491986
1.003919,-0.464896
0.843943,-0.186448
0.566356,0.139126
0.264965,0.371549
0.017795,0.484141
-0.144957,0.514229
-0.233873,0.480213
-0.269574,0.357340
-0.256239,0.125838
-0.173017,-0.163337
0.004533,-0.381881
0.275968,-0.393666
0.595248,-0.148757
0.878428,0.272983
1.030208,0.706904
0.985112,0.998878
0.742131,1.076758
0.367601,0.957402
-0.029337,0.694026
-0.343626,0.329640
-0.516120,-0.104900
-0.544463,-0.549901
-0.462899,-0.897048
-0.312688,-1.020043
-0.125051,-0.851449
0.073410,-0.443253
0.246529,0.042202
0.349106,0.414074
0.354225,0.557049
0.283190,0.488529
0.215778,0.331253
0.249106,0.223243
0.429246,0.234187
0.708439,0.330227
0.955179,0.414991
1.027053,0.395426
0.855536,0.238850
0.482698,-0.013057
0.030944,-0.262912
-0.373294,-0.408463
-0.662629,-0.396004
-0.837241,-0.264978
-0.925157,-0.139460
-0.938541,-0.170630
-0.863628,-0.435076
-0.696024,-0.854762
-0.473181,-1.194574
-0.274981,-1.179671
-0.181282,-0.678769
-0.212712,0.163508
-0.314576,0.955224
-0.392546,1.262412
-0.382920,0.879231
-0.297238,-0.010367
-0.216136,-0.911008
-0.225778,-1.301535
-0.344496,-0.952163
-0.498368,-0.069908
-0.555131,0.836259
-0.405983,1.272274
-0.038873,1.053412
0.440341,0.392958
0.852861,-0.267479
1.033374,-0.545911
0.909128,-0.332845
0.530014,0.192248
0.040015,0.727606
-0.398731,1.046603
-0.681498,1.096812
-0.802784,0.949322
-0.834504,0.690170
-0.868016,0.347003
-0.949985,-0.086489
-1.052767,-0.566209
-1.100119,-0.954459
-1.024162,-1.074221
-0.817587,-0.831116
-0.552262,-0.316182
-0.336283,0.216363
-0.251365,0.482393
-0.303379,0.337184
-0.415705,-0.140449
-0.469739,-0.705181
-0.368980,-1.100803
-0.089540,-1.208623
0.310290,-1.095057
0.714929,-0.929530
0.999005,-0.854632
1.077897,-0.898405
0.933534,-0.985446
0.622725,-1.019716
0.246745,-0.961886
-0.100155,-0.841974
-0.375493,-0.707450
-0.603660,-0.565052
-0.840887,-0.375825
-1.106995,-0.109788
-1.333270,0.191679
-1.374826,0.409066
-1.096675,0.411528
-0.488757,0.152312
0.277947,-0.284829
0.904181,-0.728957
1.112925,-1.024906
0.809144,-1.121431
0.138157,-1.077987
-0.591270,-0.995764
-1.081249,-0.938509
-1.194538,-0.905131
-0.989301,-0.871546
-0.632076,-0.845591
-0.270070,-0.877139
0.034576,-1.002863
0.275086,-1.175016
0.421461,-1.252441
0.390659,-1.076263
0.109563,-0.589728
-0.383671,0.092671
-0.890700,0.728570
-1.137081,1.082705
-0.947479,1.064660
-0.390646,0.772524
0.232817,0.423058
0.568353,0.218632
0.442679,0.247254
-0.018759,0.463483
-0.466377,0.751334
-0.560725,0.999690
-0.196236,1.145152
0.434451,1.170757
0.972342,1.085795
1.119226,0.911481
0.803036,0.675669
0.181049,0.401202
-0.491754,0.095441
-1.014249,-0.247346
-1.308788,-0.619205
-1.387068,-0.958286
-1.274495,-1.147739
-0.972858,-1.069035
-0.492420,-0.694437
0.097502,-0.152271
0.653074,0.311229
1.014100,0.459618
1.089658,0.213235
0.910352,-0.294775
0.595424,-0.797163
0.272448,-1.050759
0.011501,-0.964898
-0.178645,-0.615162
-0.303326,-0.149003
-0.340282,0.318464
-0.249095,0.734031
-0.031730,1.058962
0.232834,1.206305
0.414151,1.057598
0.421255,0.564442
0.282351,-0.156743
0.145357,-0.822593
0.179230,-1.120706
0.441992,-0.895630
0.821573,-0.249474
1.092247,0.520326
1.060187,1.102161
0.686935,1.338667
0.101238,1.277939
-0.499127,1.078502
-0.968443,0.876622
-1.263363,0.714887
-1.395277,0.568211
-1.348314,0.420441
-1.057632,0.302713
-0.485483,0.262918
0.267274,0.305906
0.929964,0.367976
1.177437,0.360803
0.838125,0.240691
0.043316,0.040967
-0.801735,-0.164136
-1.244458,-0.320399
-1.061621,-0.421801
-0.406181,-0.482793
0.292441,-0.489529
0.601417,-0.390122
0.351924,-0.148450
-0.274747,0.180604
-0.890533,0.439311
-1.154565,0.449025
-0.965822,0.137594
-0.476784,-0.385060
0.047168,-0.871892
0.406427,-1.082222
0.555326,-0.921704
0.555725,-0.485632
0.479361,0.017577
0.340932,0.398301
0.119222,0.574587
-0.161999,0.572564
-0.394814,0.461148
-0.426841,0.295129
-0.169069,0.101006
0.316572,-0.093809
0.821905,-0.248204
1.106170,-0.317078
1.043310,-0.278880
0.707511,-0.145788
0.329075,0.051169
