I,Q
-0.270228,0.892773
-0.264892,0.881191
-0.058722,0.846579
0.242435,0.807443
0.465784,0.776896
0.522830,0.784465
0.450751,0.825136
0.349763,0.852363
0.305867,0.827008
0.341178,0.733486
0.410064,0.580112
0.431758,0.404682
0.353911,0.264449
0.188211,0.207021
-0.001776,0.243306
-0.155266,0.329184
-0.262638,0.385675
-0.353778,0.354455
-0.436487,0.249450
-0.468481,0.161288
-0.386558,0.203652
-0.158246,0.431345
0.167742,0.727306
0.441322,0.876280
0.486911,0.863017
0.267942,0.685263
-0.061398,0.245695
-0.313626,-0.221100
-0.368603,-0.415469
-0.189528,-0.275762
0.152248,0.147558
0.544875,0.558173
0.889448,0.655901
1.113472,0.497315
1.201226,0.320636
1.166758,0.310376
0.968466,0.484529
0.497630,0.608555
-0.181188,0.478206
-0.723165,0.293884
-0.903009,0.270730
-0.727804,0.413178
-0.185958,0.746216
0.539566,0.900662
1.020549,0.627172
1.137025,0.233821
1.037725,-0.331587
0.692842,-0.921539
0.384899,-1.103661
0.424008,-0.836875
0.440241,-0.101058
0.373412,0.662014
0.424306,0.946517
0.466950,0.843957
0.581791,0.417511
0.749909,-0.162826
0.801608,-0.521417
0.799438,-0.517462
0.740058,-0.249423
0.545637,0.087972
0.276394,0.336225
0.041086,0.459593
-0.115346,0.497236
-0.204017,0.471590
-0.247925,0.360554
-0.246312,0.139996
-0.172268,-0.143772
-0.008211,-0.361649
0.244468,-0.385304
0.543825,-0.171714
0.797673,0.165093
0.935915,0.426882
0.933777,0.583663
0.764770,0.716197
0.433213,0.771059
0.033261,0.643187
-0.299925,0.337212
-0.485559,-0.067815
-0.530812,-0.461746
-0.491734,-0.734443
-0.384940,-0.840183
-0.191997,-0.757627
0.037797,-0.439128
0.226064,0.019070
0.339875,0.373496
0.359830,0.506383
0.295769,0.458503
0.226128,0.323718
0.250887,0.220719
0.416271,0.218362
0.667227,0.266978
0.871068,0.269886
0.925505,0.220799
0.797117,0.139829
0.483133,-0.031964
0.051927,-0.259160
-0.353058,-0.383540
-0.630728,-0.336957
-0.780024,-0.185893
-0.842577,-0.050703
-0.850996,-0.065563
-0.802694,-0.294778
-0.690990,-0.635735
-0.562597,-0.879459
-0.399206,-0.921085
-0.229867,-0.620814
-0.225439,0.130536
-0.206235,0.845505
-0.121021,1.067523
-0.231255,0.812457
-0.266148,0.028344
-0.255715,-0.766890
-0.376991,-1.003445
-0.412679,-0.793317
-0.500512,-0.077190
-0.436374,0.757473
-0.135891,1.077274
0.092818,0.920346
0.441700,0.382225
0.755838,-0.272147
0.807895,-0.579605
0.761895,-0.391249
0.508269,0.131240
0.087110,0.647395
-0.214228,0.926656
-0.374320,0.982228
-0.501789,0.889618
-0.618727,0.691253
-0.728229,0.396129
-0.839731,0.021592
-0.941488,-0.322282
-1.006145,-0.504612
-0.973581,-0.575520
-0.798877,-0.559209
-0.555939,-0.266697
-0.344231,0.203058
-0.235829,0.464826
-0.279796,0.342383
-0.394158,-0.106313
-0.468242,-0.594380
-0.444399,-0.873652
-0.247198,-0.974056
0.108274,-0.949322
0.459293,-0.863338
0.651471,-0.837372
0.662785,-0.886036
0.555228,-0.935193
0.370833,-0.936877
0.122218,-0.879152
-0.149206,-0.771074
-0.388322,-0.638450
-0.590105,-0.487564
-0.786348,-0.280818
-0.962909,0.019346
-1.030306,0.360573
-0.970948,0.570478
-0.845886,0.503301
-0.460702,0.192329
0.240457,-0.248945
0.672499,-0.702049
0.621495,-0.978791
0.414341,-1.018660
-0.010514,-0.953272
-0.609936,-0.787733
-0.997038,-0.536018
-1.067834,-0.418518
-0.924848,-0.502656
-0.644617,-0.635323
-0.328003,-0.747646
-0.075275,-0.875582
0.067000,-1.005428
0.129480,-1.059810
0.177234,-0.953090
0.062722,-0.579611
-0.367509,0.059711
-0.674319,0.693731
-0.593941,1.021283
-0.497740,0.991186
-0.269214,0.743695
0.226971,0.427813
0.543161,0.202396
0.441163,0.219691
0.011364,0.431571
-0.357686,0.701121
-0.359069,0.910484
-0.027895,0.994840
0.513175,0.912709
0.940681,0.651871
1.024973,0.468699
0.773760,0.466631
0.214113,0.366368
-0.436713,0.107762
-0.892060,-0.114369
-1.102882,-0.227670
-1.167717,-0.287865
